px_no,identifier,group,future_neutral_e1_code,future_neutral_e1_internal,future_neutral_e1_external,future_neutral_e1_proportion,future_neutral_e2_code,future_neutral_e2_internal,future_neutral_e2_external,future_neutral_e2_proportion,past_neutral_e1_code,past_neutral_e1_internal,past_neutral_e1_external,past_neutral_e1_proportion,past_neutral_e2_code,past_neutral_e2_internal,past_neutral_e2_external,past_neutral_e2_proportion,past_neg_e1_code,past_neg_e1_internal,past_neg_e1_external,past_neg_e1_proportion,past_neg_e2_code,past_neg_e2_internal,past_neg_e2_external,past_neg_e2_proportion,past_pos_e1_code,past_pos_e1_internal,past_pos_e1_external,past_pos_e1_proportion,past_pos_e2_code,past_pos_e2_internal,past_pos_e2_external,past_pos_e2_proportion,future_pos_e1_code,future_pos_e1_internal,future_pos_e1_external,future_pos_e1_proportion,future_pos_e2_code,future_pos_e2_internal,future_pos_e2_external,future_pos_e2_proportion,future_neg_e1_code,future_neg_e1_internal,future_neg_e1_external,future_neg_e1_proportion,future_neg_e2_code,future_neg_e2_internal,future_neg_e2_external,future_neg_e2_proportion
p_1001,Good,ANX,3,14,3,0.8235294117647058,2,NA,NA,NA,3,7,5,0.5833333333333334,2,NA,NA,NA,3,14,0,1,3,32,1,0.9696969696969697,3,23,0,1,3,15,0,1,3,20,0,1,3,17,0,1,3,17,2,0.8947368421052632,2,NA,NA,NA
p_1002,Good,CON,3,19,0,1,3,15,0,1,3,11,2,0.8461538461538461,3,21,0,1,3,12,0,1,3,21,0,1,2,NA,NA,NA,3,19,0,1,3,15,1,0.9375,3,19,0,1,3,15,2,0.8823529411764706,3,11,0,1
p_1003,Good,ANX,3,16,0,1,3,19,0,1,3,20,0,1,3,12,4,0.75,3,14,5,0.7368421052631579,3,14,0,1,3,13,1,0.9285714285714286,3,21,0,1,3,29,0,1,3,19,0,1,3,22,0,1,3,10,3,0.7692307692307693
p_1004,Good,CON,3,15,0,1,3,12,0,1,3,14,3,0.8235294117647058,3,23,0,1,3,34,2,0.9444444444444444,3,23,0,1,3,19,0,1,3,11,0,1,3,15,0,1,3,19,0,1,3,20,0,1,3,24,1,0.96
p_1006,Good,CON,3,27,0,1,3,26,2,0.9285714285714286,3,9,6,0.6,3,38,8,0.8260869565217391,3,16,1,0.9411764705882353,3,46,0,1,3,63,0,1,3,57,1,0.9827586206896551,3,47,1,0.9791666666666666,3,40,0,1,3,48,0,1,3,43,1,0.9772727272727273
p_1007,Good,CON,3,16,0,1,3,16,1,0.9411764705882353,3,6,5,0.5454545454545454,3,21,0,1,3,12,2,0.8571428571428571,3,17,1,0.9444444444444444,3,16,0,1,3,18,0,1,3,7,4,0.6363636363636364,3,23,0,1,2,NA,NA,NA,3,15,0,1
p_1008,Good,CON,3,18,2,0.9,3,14,1,0.9333333333333333,3,40,0,1,3,29,0,1,3,49,1,0.98,3,28,0,1,3,22,0,1,3,22,5,0.8148148148148148,3,17,2,0.8947368421052632,3,19,0,1,3,33,0,1,3,28,0,1
p_1009,Good,CON,3,13,1,0.9285714285714286,3,12,1,0.9230769230769231,3,23,0,1,3,24,0,1,3,15,0,1,3,9,0,1,3,13,0,1,3,15,0,1,3,5,3,0.625,3,10,0,1,3,16,0,1,3,12,0,1
p_1014,Good,ANX,3,38,0,1,3,28,0,1,3,34,0,1,3,69,0,1,3,56,1,0.9824561403508771,3,31,0,1,3,17,1,0.9444444444444444,3,25,0,1,3,25,0,1,3,24,0,1,3,60,0,1,3,39,0,1
p_1016,Good,CON,3,17,0,1,3,16,0,1,3,12,1,0.9230769230769231,3,18,0,1,3,15,1,0.9375,3,18,0,1,3,13,0,1,3,10,1,0.9090909090909091,3,14,0,1,3,21,0,1,3,12,0,1,2,NA,NA,NA
p_1017,Good,ANX,3,16,0,1,3,21,0,1,3,31,0,1,3,52,1,0.9811320754716981,3,34,0,1,3,29,1,0.9666666666666667,3,25,0,1,3,22,0,1,1,NA,NA,NA,3,13,0,1,3,13,0,1,3,17,0,1
p_1018,Good,CON,3,22,0,1,3,22,0,1,3,16,2,0.8888888888888888,3,30,0,1,3,31,0,1,3,31,0,1,3,12,3,0.8,3,31,0,1,3,26,0,1,3,15,0,1,3,31,0,1,3,12,0,1
p_1021J,Good,CON,3,21,0,1,3,15,0,1,3,9,0,1,3,15,0,1,3,25,0,1,3,17,0,1,3,5,3,0.625,2,NA,NA,NA,3,14,0,1,3,5,2,0.7142857142857143,3,16,0,1,3,14,0,1
p_1021S,Good,CON,3,40,0,1,3,22,1,0.9565217391304348,3,25,2,0.9259259259259259,3,25,0,1,3,27,2,0.9310344827586207,3,24,0,1,3,32,0,1,3,17,0,1,3,8,2,0.8,3,20,0,1,3,23,0,1,3,23,0,1
p_1022,Good,CON,3,26,0,1,3,18,1,0.9473684210526315,3,21,0,1,3,13,0,1,3,21,0,1,3,19,0,1,3,12,1,0.9230769230769231,3,24,0,1,3,14,0,1,3,15,0,1,3,13,1,0.9285714285714286,3,15,0,1
p_1023,Good,ANX,3,12,6,0.6666666666666666,3,16,3,0.8421052631578947,3,13,2,0.8666666666666667,3,12,8,0.6,3,21,0,1,3,32,4,0.8888888888888888,3,19,6,0.76,NA,NA,NA,NA,3,18,0,1,3,17,1,0.9444444444444444,NA,NA,NA,NA,3,18,4,0.8181818181818182
p_1024A,Good,ANX,3,10,0,1,3,21,0,1,3,18,0,1,3,7,3,0.7,3,10,1,0.9090909090909091,3,17,0,1,3,12,0,1,3,19,1,0.95,3,13,0,1,3,8,4,0.6666666666666666,3,19,2,0.9047619047619048,2,NA,NA,NA
p_1025,Good,CON,3,13,4,0.7647058823529411,3,14,3,0.8235294117647058,3,41,0,1,3,35,0,1,3,21,0,1,3,19,1,0.95,2,NA,NA,NA,2,NA,NA,NA,3,17,2,0.8947368421052632,3,15,2,0.8823529411764706,3,20,0,1,3,7,3,0.7
p_1026,Good,ANX,2,NA,NA,NA,2,NA,NA,NA,3,10,2,0.8333333333333334,2,NA,NA,NA,3,10,5,0.6666666666666666,2,NA,NA,NA,3,8,2,0.8,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
p_1028,Good,ANX,3,16,0,1,3,8,2,0.8,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,7,5,0.5833333333333334,2,NA,NA,NA,3,16,0,1,3,11,0,1,3,12,0,1,3,10,0,1,3,6,4,0.6
p_1029,Good,ANX,3,33,3,0.9166666666666666,2,NA,NA,NA,3,30,9,0.7692307692307693,3,34,4,0.8947368421052632,3,60,3,0.9523809523809523,3,15,25,0.375,3,29,5,0.8529411764705882,3,16,5,0.7619047619047619,3,36,0,1,3,22,4,0.8461538461538461,3,30,0,1,3,27,1,0.9642857142857143
p_1115,Good,CON,3,16,0,1,3,17,0,1,3,34,3,0.918918918918919,3,21,0,1,3,27,0,1,3,16,0,1,3,15,0,1,3,17,0,1,2,NA,NA,NA,3,14,0,1,3,12,0,1,3,16,0,1
p_4000,Good,CON,3,22,5,0.8148148148148148,3,18,0,1,3,22,0,1,3,23,0,1,3,10,0,1,3,10,0,1,3,11,0,1,3,12,0,1,3,15,0,1,1,NA,NA,NA,3,13,1,0.9285714285714286,3,20,0,1
p_4001,Good,ANX,3,14,12,0.5384615384615384,3,31,1,0.96875,3,30,0,1,3,38,3,0.926829268292683,3,34,9,0.7906976744186046,3,33,1,0.9705882352941176,3,28,10,0.7368421052631579,3,37,0,1,3,38,0,1,3,29,0,1,3,12,17,0.41379310344827586,2,NA,NA,NA
p_4002,Good,ANX,3,22,6,0.7857142857142857,3,32,0,1,3,26,1,0.9629629629629629,3,36,2,0.9473684210526315,2,NA,NA,NA,NA,NA,NA,NA,3,40,0,1,3,42,2,0.9545454545454546,3,40,1,0.975609756097561,NA,NA,NA,NA,3,34,2,0.9444444444444444,NA,NA,NA,NA
p_4003,Good,CON,3,26,1,0.9629629629629629,3,47,0,1,3,50,0,1,3,40,5,0.8888888888888888,3,25,8,0.7575757575757576,3,23,9,0.71875,3,21,9,0.7,3,39,6,0.8666666666666667,3,27,4,0.8709677419354839,3,26,3,0.896551724137931,3,35,6,0.8536585365853658,3,33,0,1
p_4004,Good,CON,3,23,3,0.8846153846153846,3,38,0,1,3,13,0,1,3,27,1,0.9642857142857143,3,15,2,0.8823529411764706,3,18,0,1,3,13,0,1,3,15,0,1,3,15,1,0.9375,1,NA,NA,NA,3,20,0,1,1,NA,NA,NA
p_4005,Good,ANX,1,NA,NA,NA,3,16,2,0.8888888888888888,3,15,7,0.6818181818181818,1,NA,NA,NA,3,12,10,0.5454545454545454,3,10,5,0.6666666666666666,1,NA,NA,NA,3,15,17,0.46875,2,NA,NA,NA,3,13,1,0.9285714285714286,2,NA,NA,NA,2,NA,NA,NA
p_4006,Good,CON,3,19,7,0.7307692307692307,3,33,6,0.8461538461538461,3,29,14,0.6744186046511628,3,26,14,0.65,3,37,1,0.9736842105263158,3,32,2,0.9411764705882353,3,23,11,0.6764705882352942,3,41,3,0.9318181818181818,1,NA,NA,NA,3,21,5,0.8076923076923077,3,21,3,0.875,3,15,3,0.8333333333333334
p_4007,Good,CON,3,16,0,1,3,7,14,0.3333333333333333,3,16,0,1,3,21,0,1,3,32,0,1,1,NA,NA,NA,3,17,0,1,3,30,0,1,3,18,1,0.9473684210526315,2,NA,NA,NA,3,12,4,0.75,2,NA,NA,NA
p_4008,Good,ANX,2,NA,NA,NA,3,32,2,0.9411764705882353,3,14,10,0.5833333333333334,3,19,4,0.8260869565217391,3,16,0,1,3,31,0,1,3,27,5,0.84375,3,32,0,1,3,31,0,1,3,26,6,0.8125,3,12,2,0.8571428571428571,3,20,0,1
p_4009,Good,CON,3,10,8,0.5555555555555556,1,NA,NA,NA,2,NA,NA,NA,3,17,4,0.8095238095238095,3,14,9,0.6086956521739131,3,43,6,0.8775510204081632,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,10,5,0.6666666666666666
p_4010,Good,ANX,3,9,1,0.9,3,14,0,1,3,10,7,0.5882352941176471,3,13,10,0.5652173913043478,3,26,0,1,3,19,2,0.9047619047619048,3,14,5,0.7368421052631579,3,26,2,0.9285714285714286,3,17,2,0.8947368421052632,1,NA,NA,NA,3,3,4,0.42857142857142855,3,7,4,0.6363636363636364
p_4011,Good,CON,3,7,1,0.875,3,10,2,0.8333333333333334,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,10,0,1,3,7,6,0.5384615384615384,3,15,0,1,1,NA,NA,NA,3,12,1,0.9230769230769231,2,NA,NA,NA,1,NA,NA,NA
